title,authors,description
The Names,Don DeLillo,"DeLillo's seventh is an exotic thriller. Set mostly in Greece, it concerns a mysterious 'language cult' seemingly behind a number of unexplained murders. Obsessed by news of this ritualistic violence, an American risk analyst is drawn to search for an explanation. We follow his progress on an obsessive journey that begins to take over his life and the lives of those closest to him. In addition to offering a series of precise character studies, The Names explores the intersection of language and culture, the perception of America from both inside and outside of its borders, and the impact that narration has on the facts of a story. Meditative and probing, DeLillo wonders: how does one cope with the fact that the act of articulation is simultaneously capable of defining and circumscriptively restricting access to the self?"
Against the Day,Thomas Pynchon,"“[Pynchon's] funniest and arguably his most accessible novel.” —The New York Times Book Review “Raunchy, funny, digressive, brilliant.” —USA Today “Rich and sweeping, wild and thrilling.” —The Boston Globe Spanning the era between the Chicago World's Fair of 1893 and the years just after World War I, and constantly moving between locations across the globe (and to a few places not strictly speaking on the map at all), Against the Day unfolds with a phantasmagoria of characters that includes anarchists, balloonists, drug enthusiasts, mathematicians, mad scientists, shamans, spies, and hired guns. As an era of uncertainty comes crashing down around their ears and an unpredictable future commences, these folks are mostly just trying to pursue their lives. Sometimes they manage to catch up; sometimes it's their lives that pursue them."
V.,Thomas Pynchon,"""This work may well stand as one of the very best works of the century."" —Atlantic Review ""[A] brilliant and turbulent first novel."" —George Plimpton, New York Times Book Review The wild, macabre tale of the twentieth century and of two men—one looking for something he has lost, the other with nothing much to lose—and “V.,” the unknown woman of the title. Pynchon's debut novel follows discharged Navy sailor Benny Profane as he reconnects with an eclectic collection of artists in New York known as the ""Whole Sick Crew"" along with his sidekick Pig Bodine, and the plot of Herbert Stencil, looking to find the woman he knows only as she is described in his father's diary: ""V."" Brimming with madcap characters, the novel meanders from New York to Alexandria, Cairo, Paris, Florence, and Africa, and traverses generations. Time magazine raves, ""Few books haunt the waking or the sleeping mind, but this is one."""
The Crying of Lot 49,Thomas Pynchon,"One of The Atlantic’s Great American Novels of the Past 100 Years “The comedy crackles, the puns pop, the satire explodes.”—The New York Times “The work of a virtuoso with prose . . . His intricate symbolic order [is] akin to that of Joyce’s Ulysses.”—Chicago Tribune “A puzzle, an intrigue, a literary and historical tour de force.”—San Francsisco Examiner The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy. When her ex-lover, wealthy real-estate tycoon Pierce Inverarity, dies and designates her the coexecutor of his estate, California housewife Oedipa Maas is thrust into a paranoid mystery of metaphors, symbols, and the United States Postal Service. Traveling across Southern California, she meets some extremely interesting characters, and attains a not inconsiderable amount of self-knowledge."
Gravity's Rainbow,Thomas Pynchon,"Winner of the 1974 National Book Award ""The most profound and accomplished American novel since the end of World War II."" - The New Republic “A screaming comes across the sky. . .” A few months after the Germans’ secret V-2 rocket bombs begin falling on London, British Intelligence discovers that a map of the city pinpointing the sexual conquests of one Lieutenant Tyrone Slothrop, U.S. Army, corresponds identically to a map showing the V-2 impact sites. The implications of this discovery will launch Slothrop on an amazing journey across war-torn Europe, fleeing an international cabal of military-industrial superpowers, in search of the mysterious Rocket 00000."
Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,"George Mason (1725-92) is often omitted from the small circle of founding fathers celebrated today, but in his service to America he was, in the words of Thomas Jefferson, ""of the first order of greatness."" Jeff Broadwater provides a comprehensive account of Mason's life at the center of the momentous events of eighteenth-century America. Mason played a key role in the Stamp Act Crisis, the American Revolution, and the drafting of Virginia's first state constitution. He is perhaps best known as author of the Virginia Declaration of Rights, a document often hailed as the model for the Bill of Rights. As a Virginia delegate to the Constitutional Convention in Philadelphia, Mason influenced the emerging Constitution on point after point. Yet when he was rebuffed in his efforts to add a bill of rights and concluded the document did too little to protect the interests of the South, he refused to sign the final draft. Broadwater argues that Mason's recalcitrance was not the act of an isolated dissenter; rather, it emerged from the ideology of the American Revolution. Mason's concerns about the abuse of political power, Broadwater shows, went to the essence of the American experience."
Vineland,Thomas Pynchon,"Vineland, a zone of blessed anarchy in northern California, is the last refuge of hippiedom, a culture devastated by the sobriety epidemic, Reaganomics, and the Tube. Here, in an Orwellian 1984, Zoyd Wheeler and his daughter Prairie search for Prairie's long-lost mother, a Sixties radical who ran off with a narc. Vineland is vintage Pynchon, full of quasi-allegorical characters, elaborate unresolved subplots, corny songs (""Floozy with an Uzi""), movie spoofs (Pee-wee Herman in The Robert Musil Story), and illicit sex (including a macho variation on the infamous sportscar scene in V.). For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
Gravity's Rainbow,Thomas Pynchon,"Winner of the 1974 National Book Award ""The most profound and accomplished American novel since the end of World War II."" - The New Republic “A screaming comes across the sky. . .” A few months after the Germans’ secret V-2 rocket bombs begin falling on London, British Intelligence discovers that a map of the city pinpointing the sexual conquests of one Lieutenant Tyrone Slothrop, U.S. Army, corresponds identically to a map showing the V-2 impact sites. The implications of this discovery will launch Slothrop on an amazing journey across war-torn Europe, fleeing an international cabal of military-industrial superpowers, in search of the mysterious Rocket 00000."
Slow Learner: Early Stories,Thomas Pynchon,"""An exhilarating spectacle of greatness discovering its powers."" - New Republic ""Funny and wise enough to charm the gravity from a rainbow...All five of the pieces have unusual narrative vigor and inventiveness."" - New York Times Compiling five short stories originally written between 1959 and 1964, Slow Learner showcases Thomas Pynchon’s writing before the publication of his first novel V. The stories compiled here are “The Small Rain,” “Low-lands,” “Entropy,” “Under the Rose,” and “The Secret Integration,” along with an introduction by Pynchon himself that Time magazine calls his ""first public gesture toward autobiography."""
Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,"A witty, psychedelic, and telling novel of the 1960s Richard Fariña evokes the Sixties as precisely, wittily, and poignantly as F. Scott Fitzgerald captured the Jazz Age. The hero, Gnossus Pappadopoulis, weaves his way through the psychedelic landscape, encountering-among other things-mescaline, women, art, gluttony, falsehood, science, prayer, and, occasionally, truth. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators. From the Trade Paperback edition."
The Year of Magical Thinking,Joan Didion,"[In this book, the author] explores an intensely personal yet universal experience: a portrait of a marriage - and a life, in good times and bad - that will speak to anyone who has ever loved a husband or wife or child. Several days before Christmas 2003, John Gregory Dunne and Joan Didion saw their only daughter, Quintana, fall ill with what seemed at first flu, then pneumonia, then complete septic shock. She was put into an induced coma and placed on life support. Days later - the night before New Year's Eve - the Dunnes were just sitting down to dinner after visiting the hospital when John Gregory Dunne suffered a massive and fatal coronary. In a second, this close, symbiotic partnership of forty years was over. Four weeks later, their daughter pulled through. Two months after that, arriving at LAX, she collapsed and underwent six hours of brain surgery at UCLA Medical Center to relieve a massive hematoma. This ... book is Didion's attempt to make sense of the ""weeks and then months that cut loose any fixed idea I ever had about death, about illness ... about marriage and children and memory ... about the shallowness of sanity, about life itself.""--Jacket."
The White Album,Joan Didion,"First published in 1979, Joan Didion's The White Album records indelibly the upheavals and aftermaths of the 1960s. Examining key events, figures, and trends of the era—including Charles Manson, the Black Panthers, and the shopping mall—through the lens of her own spiritual confusion, Joan Didion helped to define mass culture as we now understand it. Written with a commanding sureness of tone and linguistic precision, The White Album is a central text of American reportage and a classic of American autobiography."
A Book of Common Prayer,Joan Didion,"The iconic writer's electrifying first novel is a story of marriage, murder and betrayal that only she could tell with such nuance, sympathy, and suspense—from the bestselling, award-winning author of The Year of Magical Thinking and Let Me Tell You What I Mean. Everett McClellan and his wife, Lily, are the great-grandchildren of pioneers, and what happens to them is a tragic epilogue to the pioneer experience—a haunting portrait of a marriage whose wrong turns and betrayals are at once absolutely idiosyncratic and a razor-sharp commentary on the history of California."
Where I Was From,Joan Didion,"NEW YORK TIMES BESTSELLER • NATIONAL BOOK AWARD WINNER • From one of America’s iconic writers, a stunning book of electric honesty and passion that explores an intensely personal yet universal experience: a portrait of a marriage—and a life, in good times and bad—that will speak to anyone who has ever loved a husband or wife or child. One of The New York Times’s 100 Best Books of the 21st Century • A Los Angeles Times Best Nonfiction Book of the Last 30 Years Several days before Christmas 2003, John Gregory Dunne and Joan Didion saw their only daughter, Quintana, fall ill with what seemed at first flu, then pneumonia, then complete septic shock. She was put into an induced coma and placed on life support. Days later—the night before New Year’s Eve—the Dunnes were just sitting down to dinner after visiting the hospital when John Gregory Dunne suffered a massive and fatal coronary. In a second, this close, symbiotic partnership of forty years was over. Four weeks later, their daughter pulled through. Two months after that, arriving at LAX, she collapsed and underwent six hours of brain surgery at UCLA Medical Center to relieve a massive hematoma. This powerful book is Didion’ s attempt to make sense of the “weeks and then months that cut loose any fixed idea I ever had about death, about illness ... about marriage and children and memory ... about the shallowness of sanity, about life itself."
Slouching Towards Bethlehem,Joan Didion,A RICH DISPLAY OF SOME OF THE BEST PROSE WRITTEN TODAY IN THE USA.
Democracy,Joan Didion,"NATIONAL BESTSELLER • In these coolly observant essays, the iconic bestselling writer looks at the American political process and at ""that handful of insiders who invent, year in and year out, the narrative of public life."" Through the deconstruction of the sound bites and photo ops of three presidential campaigns, one presidential impeachment, and an unforgettable sex scandal, Didion reveals the mechanics of American politics. She tells us the uncomfortable truth about the way we vote, the candidates we vote for, and the people who tell us to vote for them. These pieces build, one on the other, into a disturbing portrait of the American political landscape, providing essential reading on our democracy."
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,Publisher description
Play It As It Lays,Joan Didion/David Thomson,"A ruthless dissection of American life in the late 1960s, Joan Didion's Play It as It Lays captures the mood of an entire generation, the ennui of contemporary society reflected in spare prose that blisters and haunts the reader. Set in a place beyond good and evil---literally in Hollywood, Las Vegas, and the barren wastes of the Mojave Desert, but figuratively in the landscape of an arid soul---it remains more than three decades after its original publication a profoundly disturbing novel, riveting in its exploration of a woman and a society in crisis and stunning in the still-startling intensity of its prose."
The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,"The remarkable, acclaimed series of interconnected detective novels City of Glass, Ghosts, and The Locked Room, from New York Times bestselling author Paul Auster. This Penguin Classics Deluxe Edition includes an introduction from author and professor Lucy Sante, as well as a pulp novel-inspired cover from Art Spiegelman, Pulitzer Prize-winning graphic artist of Maus and In the Shadow of No Towers. “Exhilarating . . . a brilliant investigation of the storyteller’s art guided by a writer-detective who’s never satisfied with just the facts.”—The Philadelphia Inquirer City of Glass: As a result of a strange phone call in the middle of the night, Quinn, a writer of detective stories, becomes enmeshed in a case more puzzling than any he might have written. Ghosts: Blue, a student of Brown, has been hired by White to spy on Black. From a window of a rented room on Orange Street, Blue keeps watch on his subject, who is across the street, staring out of his own window. The Locked Room: Fanshawe has disappeared, leaving behind his wife and baby and a cache of extraordinary novels, plays, and poems. What happened to him and why is the narrator, Fanshawe’s boyhood friend, lured obsessively into his life? Moving at the breathless pace of a thriller, this is a uniquely stylized trilogy of detective novels that The Washington Post Book World has classified as “post-existential private eye. . . . It’s as if Kafka has gotten hooked on the gumshoe game and penned his own ever-spiraling version.” Penguin Classics is the leading publisher of classic literature in the English-speaking world, representing a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
City of Glass (The New York Trilogy  #1),Paul Auster,"When reclusive crime writer Daniel Quinn receives a mysterious call seeking a private detective in the middle of the night, he quickly and unwittingly becomes the protagonist in a thriller of his own. As the familiar territory of the noir detective genre gives way to something altogether more disturbing, Quinn becomes consumed by his mission, and begins to lose his grip on reality."
Ghosts (The New York Trilogy  #2),Paul Auster,"The contemporary classic from 'our supreme post-modernist' (Ian McEwan) - expanding the possibilities of the noir detective novel - whose writing 'shines with intelligence and originality' (Don DeLillo) The New York Trilogy is the most astonishing work by America's most consistently astonishing writer: three interconnected novels that exploit the riveting elements of classic detective fiction to achieve a radical new genre - a profound and unsettling existentialist enquiry in the tradition of Kafka or Borges. In each story the search for clues leads to remarkable coincidences in the universe as the simple act of trailing a man ultimately becomes a startling investigation of what it means to be human. The result is the modern novel at its finest which will shock, transfix and astound every reader. 'Marks a new departure for the American novel.' Observer 'A shatteringly clever piece of work . . . Utterly gripping, written with an acid sharpness that leaves an indelible dent in the back of the mind.' Sunday Telegraph 'One of the great American prose stylists of our time.' New York Times 'Auster really does possess the wand of the enchanter.' New York Review of Books"
The Locked Room (The New York Trilogy  #3),Paul Auster,"The stunning eighth installment in the Martin Beck mystery series by the renowned Swedish crime writing duo is a masterful take on a classic locked room mystery. With an introduction by Michael Connelly: ""One of the most authentic, gripping, and profound collections of police procedurals ever accomplished."" A young blonde in sunglasses robs a bank and kills a hapless citizen. Across town, a corpse with a bullet shot through its heart is found in a locked room–with no gun at the scene. The crimes seem disparate, but to Martin Beck they are two pieces of the same puzzle, and solving it becomes the one way he can escape the pains of his failed marriage and the lingering effects of a near-fatal bullet wound. Exploring the ramifications of egotism and intellect, luck and accident, this tour de force of detection bears the unmistakable substance and gravity of real life."
Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,"“…a bizarre Internet phenomenon: an “immersive” online experience—part mystery, part game, part who knows what—known as both the Incunabula Papers and Ong’s Hat. The Incunabula Papers/Ong’s Hat was, or is, a “many-threaded, open-ended interactive narrative” that ”weds an alternate history of chaos science and consciousness studies to conspiracy theories, parallel dimensions, and claims that computer-mediated environments can serve as magical tools…. the documents provoked a widespread “immersive legend-trip” in the late 1990s. Via Web forums, participants investigated the documents—manifestos—which spun up descriptions of brilliant but suppressed discoveries relating to paths that certain scientists had forged into alternate realities. Soon, those haunted dimensions existed in the minds and fantasies of Ong’s Hat’s many participants. That was evident as they responded to the original postings by uploading their own—all manner of reflections and artifacts: personal anecdotes, audio recordings, and videos—to augment what became “a really immersive world, and it was vast”."
The Brooklyn Follies,Paul Auster,"From the critically acclaimed and bestselling author of Oracle Night and 4 3 2 1, an exhilarating, whirlwind tale of one man's accidental redemption. Nathan Glass has come to Brooklyn to die. Divorced, estranged from his only daughter, the retired life insurance salesman seeks only solitude and anonymity. Then Nathan finds his long-lost nephew, Tom Wood, working in a local bookstore—a far cry from the brilliant academic career he'd begun when Nathan saw him last. Tom's boss is the charismatic Harry Brightman, whom fate has also brought to the ""ancient kingdom of Brooklyn, New York."" Through Tom and Harry, Nathan's world gradually broadens to include a new set of acquaintances—not to mention a stray relative or two—and leads him to a reckoning with his past. Among the many twists in the delicious plot are a scam involving a forgery of the first page of The Scarlet Letter, a disturbing revelation that takes place in a sperm bank, and an impossible, utopian dream of a rural refuge. Meanwhile, the wry and acerbic Nathan has undertaken something he calls The Book of Human Folly, in which he proposes ""to set down in the simplest, clearest language possible an account of every blunder, every pratfall, every embarrassment, every idiocy, every foible, and every inane act I had committed during my long and checkered career as a man."" But life takes over instead, and Nathan's despair is swept away as he finds himself more and more implicated in the joys and sorrows of others. The Brooklyn Follies is Paul Auster's warmest, most exuberant novel, a moving and unforgettable hymn to the glories and mysteries of ordinary human life."
Moon Palace,Paul Auster,"""I was the summer that man first walked on the moon. I was very young back then, but I did not believe there would ever be a future..."" Spanning three generations, Moon Palace is the story of Marco Stanley Fogg and his quest for identity in the modern world. Moving from the concrete canyons of Manhattan to the cruelly beautiful landscape of the American West, it is a meditation on and re-examination of America, art and the self, by one of America's foremost authors."
The Music of Chance,Paul Auster,"'By the time Nashe understood what was happening to him, he was past the point of wanting it to end . . .' Following the death of his father and the inheritance of a large sum of money, Jim Nashe takes to the open road in pursuit of a 'life of freedom'. But as the money runs out he finds that his sense of disillusionment has only been compounded by his year on the road. However, having picked up Pozzi, a hitchhiking young gambler, he is drawn into a dangerous game of poker with Flower and Stone, two eccentric and reclusive millionaires. Unwittingly, Nashe finds himself in a situation in which, although the stakes have been raised, he will finally meet a challenge equal to his questions."
Travels in the Scriptorium,Paul Auster,"An old man sits in a room, with a single door and window, a bed, a desk and a chair. Each day he awakes with no memory, unsure of whether or not he is locked into the room. Attached to the few objects around him are one-word, hand-written, labels and on the desk is a series of vaguely familiar black-and-white photgraphs and four piles of paper. Then a middle-aged woman called Anna enters and talks of pills and treatment, but also of love and promises. Who is this Mr Blank, and what is his fate? What does Anna represent from his past - and will he have enough time to ever make sense of the clues that arise? After the huge success of The Brooklyn Follies, Travels in the Scriptorium sees Auster return to more metaphysical territory. A dark puzzle, and a game that implicates both reader and writer alike, it is an ingenious exploration of language, responsibility and the passage of time."
Leviathan,Paul Auster,"NATIONAL BESTSELLER • A “compelling” (Los Angeles Times) novel of friendship, betrayal, estrangement, and the unpredictable intrusions of violence in the everyday—from “a literary original who is perfecting a genre of his own” (The Wall Street Journal) “Rich and complex . . . with fully fleshed characters, a fast-paced plot, thematic sophistication, and narrative cunning.”—The Boston Globe “Six days ago, a man blew himself up by the side of a road in northern Wisconsin.” So begins Peter Aaron’s story about his best friend, Benjamin Sachs. Sachs had a marriage Aaron envied, an intelligence he admired, a world he shared. And then suddenly, after a near-fatal fall that might or might not have been intentional, Sachs disappeared. Now Aaron must piece together the life that led to Sach’s death. His sole aim is to tell the truth and preserve it—before those who are investigating the case invent an account of their own. Leviathan is a daring and immensely moving story by an author whom The Times Literary Supplement has called “one of America’s most spectacularly inventive writers.”"
The Red Notebook: True Stories,Paul Auster,Contains: The red notebook -- Why write? -- Accident report -- It don't mean a thing.
Timbuktu / Leviathan / Moon Palace,Paul Auster,"Meet Mr. Bones, the canine hero of Paul Auster's remarkable new novel, Timbuktu. Mr. Bones is the sidekick and confidant of Willy G. Christmas, the brilliant, troubled, and altogether original poet-saint from Brooklyn. Like Don Quixote and Sancho Panza before them, they sally forth on a last great adventure, heading for Baltimore, Maryland in search of Willy's high school teacher, Bea Swanson. Years have passed since Willy last saw his beloved mentor, who knew him in his previous incarnation as William Gurevitch, the son of Polish war refugees. But is Mrs. Swanson still alive? And if she isn't, what will prevent Willy from vanishing into that other world known as Timbuktu? Mr. Bones is our witness. Although he walks on four legs and cannot speak, he can think, and out of his thoughts Auster has spun one of the richest, most compelling tales in recent American fiction. By turns comic, poignant, and tragic, Timbuktu is above all a love story. Written with a scintillating verbal energy, it takes us into the heart of a singularly pure and passionate character, an unforgettable dog who has much to teach us about our own humanity."
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"In Jared Diamond’s follow-up to the Pulitzer-Prize winning Guns, Germs and Steel, the author explores how climate change, the population explosion and political discord create the conditions for the collapse of civilization. Diamond is also the author of Upheaval: Turning Points for Nations in Crisis Environmental damage, climate change, globalization, rapid population growth, and unwise political choices were all factors in the demise of societies around the world, but some found solutions and persisted. As in Guns, Germs, and Steel, Diamond traces the fundamental pattern of catastrophe, and weaves an all-encompassing global thesis through a series of fascinating historical-cultural narratives. Collapse moves from the Polynesian cultures on Easter Island to the flourishing American civilizations of the Anasazi and the Maya and finally to the doomed Viking colony on Greenland. Similar problems face us today and have already brought disaster to Rwanda and Haiti, even as China and Australia are trying to cope in innovative ways. Despite our own society’s apparently inexhaustible wealth and unrivaled political power, ominous warning signs have begun to emerge even in ecologically robust areas like Montana. Brilliant, illuminating, and immensely absorbing, Collapse is destined to take its place as one of the essential books of our time, raising the urgent question: How can our world best avoid committing ecological suicide?"
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,"In this incredibly timely book,renowned economist Stephen Leeb shows how surging oilprices will contribute to a huge economic collapse bysoaring to over $100, and perhaps $200, a barrel- andtells how you can avoid the pitfalls of the upcomingcrisis."
Collapse of Complex Societies,Joseph A. Tainter,Dr Tainter describes nearly two dozen cases of collapse and reviews more than 2000 years of explanations. He then develops a new and far-reaching theory.
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,Packed with provocative information about the social and political habits of twentieth-century Americans.
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,"In pursuit of fairness at any cost, we have created a society paralyzed by legal fear: Doctors are paranoid and principals powerless. Little league coaches, scared of liability, stop volunteering. Schools and hospitals start to crumble. The common good fades, replaced by a cacophony of people claiming their “individual rights.” By turns funny and infuriating, this startling book dissects the dogmas of fairness that allow self-interested individuals to bully the rest of society. Philip K. Howard explains how, trying to honor individual rights, we removed the authority needed to maintain a free society. Teachers don’t even have authority to maintain order in the classroom. With no one in charge, the safe course is to avoid any possible risk. Seesaws and diving boards are removed. Ridiculous warning labels litter the American landscape: “Caution: Contents Are Hot.” Striving to protect “individual rights,” we ended up losing much of our freedom. When almost any decision that someone disagrees with is a possible lawsuit, no one knows where he stands. A huge monument to the unknown plaintiff looms high above America, casting a dark shadow across our daily choices. Today, in the land of free speech, you’d have to be a fool to say what you really think. This provocative book not only attacks the sacred cows of political correctness, but takes a breathtakingly bold stand on how to reinvigorate our common good. Only by restoring personal authority can schools begin to work again. Only by judges and legislatures taking back the authority to decide who can sue for what can doctors feel comfortable using their best judgment and American be liberated to say and do what they know is right. Lucid, honest, and hard hitting, The Collapse of the Common Good shows how Americans can bring back freedom and common sense to a society disabled by lawyers and legal fear."
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,"Troubling Truth and Reconciliation in Canadian Education offers a series of critical perspectives concerning reconciliation and reconciliatory efforts between Canadian and Indigenous peoples. Indigenous and non-Indigenous scholars address both theoretical and practical aspects of troubling reconciliation in education across various contexts with significant diversity of thought, approach, and socio-political location. Throughout, the work challenges mainstream reconciliation discourses. This timely, unflinching analysis will be invaluable to scholars and students of Indigenous studies, sociology, and education. Contributors: Daniela Bascuñán, Jennifer Brant, Liza Brechbill, Shawna Carroll, Frank Deer, George J. Sefa Dei (Nana Adusei Sefa Tweneboah), Lucy El-Sherif, Rachel yacaaʔał George, Ruth Green, Celia Haig-Brown, Arlo Kempf, Jeannie Kerr, David Newhouse, Amy Parent, Michelle Pidgeon, Robin Quantick, Jean-Paul Restoule, Toby Rollo, Mark Sinke, Sandra D. Styres, Lynne Wiltse, Dawn Zinga"
My Inventions,Nikola Tesla,"In ""My Inventions,"" Nikola Tesla offers a profound glimpse into the mind of one of the most visionary inventors of the modern age. This collection of essays, originally published in the early 20th century, dives into Tesla's groundbreaking theories and inventions, including the alternating current (AC) system and wireless communication. Tesla's literary style is both eloquent and accessible, transcending the technicalities of science to touch upon the philosophical implications of technological progress. Through introspective narratives, Tesla reflects on his creative process and the struggles he faced, providing readers with not just a history of his inventions, but an understanding of the man behind the magic amid the backdrop of an increasingly industrialized world. Nikola Tesla, an immigrant from Serbia, arrived in America with a vision to revolutionize energy transmission. His early experiences in Europe laid the groundwork for his innovative spirit and relentless pursuit of scientific inquiry. Tesla was not merely an engineer; he was a visionary thinker who contemplated the ethical dimensions of technology long before it entered mainstream discourse. His diverse experiences, from working with Thomas Edison to founding his own laboratory, shaped his unique perspective on invention and innovation. This compelling work is highly recommended for readers interested in the intersections of science, philosophy, and history. Whether you are a student of engineering, a technology enthusiast, or simply curious about the evolution of modern innovation, ""My Inventions"" offers timeless insights that continue to resonate in today's world of rapid technological advancement. Tesla's reflections illuminate the creator's path and the society that both fosters and challenges innovation."
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,"A biography of the Croatian immigrant who ""has been called the patron saint of electricity."""
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,Recounts the life and accomplishments of the Croatian-born engineer who developed alternating-current technology and invented the radio
Tesla Papers,Nikola Tesla/David Hatcher Childress,"""Nikola Tesla on free energy & wireless transmission of power""--Cover."
Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,"Baseball. The crack of the bat, the roar of the crowd... and the view of mouthwatering men in tight uniforms! A sport in which the men are men...and the women like them that way. Join three of Harlequin Blaze's bestselling authors in celebrating the men who indulge in this All–American pastime – and the women who help them indulge in other things... In Fever Pitch, Julie Elizabeth Leto introduces Callie Andrews, a woman who's dying to have one last chance at bat... with her ex–husband! In Kimberly Raye's The Sweet Spot, Babe Bannister discovers that striking out with a sexy shortstop isn't so bad – especially when it leads to hitting a home run with a delicious coach.... And in Leslie Kelly's Sliding Home, we meet plain Janie Nolan. She's been sitting on the bench so long, she doesn't even realise she's still in the game. That is, until a sexy pitcher tempts her to come up to the plate and take a swing..."
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,"What others in the trenches say about The Pragmatic Programmer... “The cool thing about this book is that it’s great for keeping the programming process fresh. The book helps you to continue to grow and clearly comes from people who have been there.” — Kent Beck, author of Extreme Programming Explained: Embrace Change “I found this book to be a great mix of solid advice and wonderful analogies!” — Martin Fowler, author of Refactoring and UML Distilled “I would buy a copy, read it twice, then tell all my colleagues to run out and grab a copy. This is a book I would never loan because I would worry about it being lost.” — Kevin Ruland, Management Science, MSG-Logistics “The wisdom and practical experience of the authors is obvious. The topics presented are relevant and useful.... By far its greatest strength for me has been the outstanding analogies—tracer bullets, broken windows, and the fabulous helicopter-based explanation of the need for orthogonality, especially in a crisis situation. I have little doubt that this book will eventually become an excellent source of useful information for journeymen programmers and expert mentors alike.” — John Lakos, author of Large-Scale C++ Software Design “This is the sort of book I will buy a dozen copies of when it comes out so I can give it to my clients.” — Eric Vought, Software Engineer “Most modern books on software development fail to cover the basics of what makes a great software developer, instead spending their time on syntax or technology where in reality the greatest leverage possible for any software team is in having talented developers who really know their craft well. An excellent book.” — Pete McBreen, Independent Consultant “Since reading this book, I have implemented many of the practical suggestions and tips it contains. Across the board, they have saved my company time and money while helping me get my job done quicker! This should be a desktop reference for everyone who works with code for a living.” — Jared Richardson, Senior Software Developer, iRenaissance, Inc. “I would like to see this issued to every new employee at my company....” — Chris Cleeland, Senior Software Engineer, Object Computing, Inc. “If I’m putting together a project, it’s the authors of this book that I want. . . . And failing that I’d settle for people who’ve read their book.” — Ward Cunningham Straight from the programming trenches, The Pragmatic Programmer cuts through the increasing specialization and technicalities of modern software development to examine the core process--taking a requirement and producing working, maintainable code that delights its users. It covers topics ranging from personal responsibility and career development to architectural techniques for keeping your code flexible and easy to adapt and reuse. Read this book, and you'll learn how to Fight software rot; Avoid the trap of duplicating knowledge; Write flexible, dynamic, and adaptable code; Avoid programming by coincidence; Bullet-proof your code with contracts, assertions, and exceptions; Capture real requirements; Test ruthlessly and effectively; Delight your users; Build teams of pragmatic programmers; and Make your developments more precise with automation. Written as a series of self-contained sections and filled with entertaining anecdotes, thoughtful examples, and interesting analogies, The Pragmatic Programmer illustrates the best practices and major pitfalls of many different aspects of software development. Whether you're a new coder, an experienced programmer, or a manager responsible for software projects, use these lessons daily, and you'll quickly see improvements in personal productivity, accuracy, and job satisfaction. You'll learn skills and develop habits and attitudes that form the foundation for long-term success in your career. You'll become a Pragmatic Programmer."
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,"The original CliffsNotes study guides offer expert commentary on major themes, plots, characters, literary devices, and historical background. The latest generation of titles in this series also feature glossaries and visual elements that complement the classic, familiar format. CliffsNotes on Lord of the Flies takes you on an exploration of William Golding's novel to the dark side of humanity, the savagery that underlies even the most civilized human beings. Follow Golding's group of young boys from hope to disaster and watch as they attempt to survive their uncivilized, unsupervised, and isolated environment. You can rely on CliffsNotes on Lord of the Flies for character analyses, insightful essays, and chapter-by-chapter commentaries to ensure your safe passage through the rich symbolism of this novel. Other features that help you study include A brief synopsis of the novel A character map to help you see relationships among the characters A glossary that helps you get the most out of your reading An interactive quiz to test your knowledge Essay topics and review questions Classic literature or modern-day treasure—you'll understand it all with expert information and insight from CliffsNotes study guides."
